löpnummer,län,kommun,socken,föreningensnamn,föreningensinstiftelseår,objekt,formavägande,intressenter,fastighetsbeteckning,adress,arkitekt,byggmästare,nybyggnadsår,miljö,renoveringombyggnad,byggnaderfunktioner,verksamhetidag,tidigarefunktion,litteratur,arkivhandlingar,källa,anmärkning
0777,S,Kristinehamn,Kristinehamn,Folkets Hus och Park i Kristinehamn (Fd Föreningen Folkets Park),1916 (sammanslagen med FH 1986),Kristinehamns Folkets Park Talludden,Kommun,Kommun,,Fältvägen / Talluddsväden,,,1916,inne i tätortsbebyggelse,,,,,Kristinehamns Folkpark 1916-1941 : några anteckningar till parkens historia / av Gösta Andersson och Linus Brodin.,Folkrörelsernas arkiv för Värmland 1 vol. 1935-1943 FP Folkrörelsernas arkiv för Värmland 60 vol. 1906-1964 ARAB: Folkets Hus och Parker; övriga landet vol. 7 fragment [samling],"FHP-enkät, SF, FPC, NAD",
0778,BD,Kiruna,,Folkets Hus och Park,1901,Kiruna Folkets Park Malmia,ideell förening / ekonomisk förening upa,"fackförening, arbetarekommun, enskilda","Kiruna, Lombia 2",,,,1977,,,,,,,,"FHP-enkät, SF, FPC",
0779,S,Eda,Eda,Charlottenberg-Eda Folkets Hus och Park upa,1911,Charlottenbergs Folkets Hus,,,,Storgatan 33,,,1919,,,,Rivet,,,Folkrörelsernas arkiv för Värmland,"FHP-enkät, SF",
0780,S,Eda,Charlottenberg,Föreningen Folkets Hus Kortlanda,1906,Kortlanda Folkets Hus,,,,,,,1914,,,,?,,,,"FHP-enkät, SF",
0781,S,Eda,,,1927,Adolfsfors Folkets Hus,,,,,,,1929,,,,?,,,,"FHP-enkät, SF",
0782,S,Eda,Skillingmark,Skillingmarks Folkets husförening,1918,Skillingmarks Folkets Hus,,,,,,,1919,,,,?,,,,"FHP-enkät, SF",
0783,S,Eda,Eda,Charlottenberg-Eda Folkets Hus och Park,1922,Eda Folkets Park,ideell förening,"arbetarekommun, s-förening",Norra Änterud 1:149,Eda Glasbruk,,Hjalmar Adolfsson,1936,i anslutning till tätortsbebyggelse,,"dansbana, serveringslokal, pub","mötesverksamhet, teater, dans",,,"Folkrörelsearkivet för Värmland: Föreningen Folkets Park, Eda Glasbruk 2 vol. 1944-1946","FHP-enkät, SF, FPC, NAD",Folkets Hus sålt till kommunen. Numera glasmuseum.
0784,S,Eda,Skillingmark,,,Skillingmarksparken,,,,,,,,,,,?,,,,FHP-enkät,
0785,S,Eda,,,,Rönningslunden,,,,,,,,,,,?,,,,FHP-enkät,
0786,E,Valdemarsvik,,Föreningen Folkets Park i Valdemarsvik u p a,1922,Folkets Park Valdemarsvik,ekonomisk förening,,,,,,,,,,,,"Föreningen Folkets Park u.p.a. Valdemarsvik, 1924-1944","Folkets Park I Valdemarsvik 1902-1944 privat förvaring, kontakta Östergötlands läns föreningsarkiv. ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10","NAD, ARAB, FHP-enkät",
0787,S,Eda,Eda,Charlottenberg-Eda Folkets Hus och Park upa,1911,Charlottenbergs Folkets Park,,,,,,,1911,,,,,,,Folkrörelsernas arkiv för Värmland 4 vol. 1934-1961,"FHP-enkät, NAD",
0788,M,Landskrona,,Andelsföreningen Folkets Hus upa i Landskrona,1887,Landskrona Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, enskilda",Norra förstaden 37,Säbygatan 16,,,1913,inne i tätortsbebyggelse,,,,,"Blomstrand, Kalle: Kafé och Nöjesliv i Landskrona, 1980 Arbetarkulturen i Landskrona 1880-1930",ARAB [samling]: Organisationsklipp vol. 12,"FHP-enkät, Arbetet 22 mars 1944",
0789,BD,Luleå,,Luleå Folkets Husförening upa,1898,Luleå Folkets Hus,ekonomisk förening upa,"fackförening, arbetarekommun, s-förening, enskilda",Katten 6,Skeppsbrogatan 36,,Militären,1842,inne i tätortsbebyggelse,,,,,Detta samhälle krävde detta hus- : en berättelse om Luleå folketshusförening u.p.a. och arbetarrörelsen åren 1898-1988 / av Stellan Persson,Folkrörelsearkivet i Norrbotten,"FHP-enkät, SF",Inköpt 1920. Var från början officersmäss för Norrbottens Fältjägarkår.
0790,T,Hallsberg,Viby,"Folkets Hus och Park, Vretstorp",1932,Vretstorp Folkets Park,ideell förening,"fackförening, enskilda",Skävi 9:1,,,,1932,i anslutning till tätortsbebyggelse,,,,,,Folkrörelsearkivet i Örebro samt i lokalen,"FHP-enkät, FA, FPC",
0791,AB,Huddinge,,Byggnadsföreningen Folkets Hus i Huddinge,1920,Fullersta / Huddinge Folkets Hus,,,,,,,1934,,,,,,,"Huddinge kommunarkiv: 1 vol. 1927 ARAB (samling) Folkets Hus och Parker, Stockholm vol. 1.","FHP-enkät, NAD",Såld till kommunen. Sannolikt ägde föreningen endast tomter med en dansbana och serveringskiosk
0792,S,Eda,Eda,Föreningen Folkets Hus Åmotfors upa,1907,Åmotfors Folkets Hus,ekonomisk förening,,,Åsvägen 2,,,1912,,,,,,,"Folkrörelsernas arkiv för Värmland 1 vol. 1907-1971 ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10, fragment","FHP-enkät, SF, NAD",Blev ombyggt till bostad.
0793,T,Hallsberg,,Pålsboda Folkets Hus & parkförening,1944.06.09,Pålsboda Folkets Park,ideell förening,"fackförening, s-förening, enskilda",Stensbo 1:18,Stensbovägen,,,1946,i anslutning till tätortsbebyggelse,,dansbana (1946),"dans, barnkulturprogram sommartid",,"Pålsboda Folkets Park. Historik över de första 50 åren, Poul Nielsen, Pålsboda, 1996","1944-1978 i lokalen: kontakta Folkrörelsernas arkiv i Örebro protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar","FHP-enkät, FPC, NAD",
0794,T,Lindesberg,Näsby,Frövi Folkets husförening,1907,Frövi Folkets Park,ekonomisk förening,,,,,,1914,,,,Revs på 60-talet.,,Minnesskrift omfattande verksamheten 1907-1938 : Frövi Folkets hus-förening och Folkets Park.,ARAB: Folkets husföreningar vol 1 [samling],"FHP-enkät, SF, FA, NAD, ARAB",Revs på 1960-talet.
0795,O,Lysekil,Bro,Härnäsets Folkets husförening,1902,Härnäsets Folkets Hus,ekonomisk förening,,,,,,1907,,,,,,"Carlsson, Eric: I kamp mot nöden [Härnäsets Folkets Hus] 1985","Bohusläns föreningsarkiv, Uddevalla 1902-1954 0,90 hm A-B, D-H, J, L ARAB: Folkets husföreningar vol. 2 [samling] ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment","FHP-enkät Lysekils FH, SF, FA, NAD, ARAB","byggnadsminnesförklarat Stadgar och andelsbevis finns för Norra Härnäsets Folkets Hus Förening, bildad 1906 i ARAB [samling]: Folkets Hus och Parker; övriga landet vol. 7, fragment"
0796,O,Lysekil,,,,Kulleröds Folkets Hus,,,,,,,,,,,,,,,FHP-enkät Lysekils FH,
0797,O,Lysekil,,Hjälmedals Folkets husförening,1900,Hjälmedals Folkets Hus,,,,,,,1923,,,,,,,"ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment","FHP-enkät Lysekils FH, SF, ARAB",
0798,O,Lysekil,,Sjöbols Folkets husförening upa,1908,Sjöbols Folkets Hus,ekonomisk förening,,,,,,,,,,,,,"Bohusläns föreningsarkiv, Uddevalla 1908-1964 0,15 hm ARAB [samling]: Folkets Hus och Parker; övriga landet, vol. 8 fragment","FHP-enkät Lysekils FH, FA, ARAB",
0799,O,Lysekil,,Föreningen Folkets Hus Ramsvik upa,1908,Ramsviks Folkets Hus,ekonomisk förening,,,,,,,,,,,,,"Bohusläns föreningsarkiv, Uddevalla  5 vol. 1908-1958","FHP-enkät Lysekils FH, FA",
0800,C,Tierp,Tegelsmora,Tobo Folkets husförening upa,1941,Tobo Folkets Hus,ekonomisk förening upa,,,Vid brukets västra del efter vägen mot Tierp,,,1944,,,"Stora salen med scen, några mindre samlingsrum, kök, kafélokaler",Nedlagt 1986. Blev bostad/ fritids.,,,ARAB [samling]: Organisationsklipp vol. 17,"FHP-enkät, Morgon Tidningen 14 aug 1944","Föreningen köpte nya lokaler i Tobo (fd brukskontoret) 1986 och byggde om till samlingslokaler, eftersom denna lokal var för stor, och verksamheten gick dåligt."
0801,BD,Luleå,,Luleå Nya Folkets husförening,1984,Luleå Nya Folkets Hus,ideell förening,"fackförening, arbetarekommun, s-förening, Riksbyggen, HSB",Ripan 15,Varvsgatan 39,,,1902 ca,inne i tätortsbebyggelse,Byggdes om 1974 för allaktivitetshus (fritidsgård),"kök, restaurang, studielokal, föreningsexpedition, teater","mötesverksamhet, föreningsexpedition, restaurang, studiecirklar, utbildningar","Arbetsplats, fritidsgård",Detta samhälle krävde detta hus- : en berättelse om Luleå folketshusförening u.p.a. och arbetarrörelsen åren 1898-1988 / av Stellan Persson,"Folkrörelsearkivet i Norrbotten 1984- protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar (1974)",FHP-enkät,
0802,AC,Skellefteå,,Bolidens Folkets Hus,1926,Bolidens Folkets Hus,ekonomisk förening upa,fackförening,1:457 Bjurliden,Yttervägen 62,Tage William Olsson,,1927,i anslutning till tätortsbebyggelse,Tillbyggt 1931.,,Brann upp 1953. Nytt FH uppfördes på samma plats.,,Bolidens Folkets Hus förening 1926-1936 samt styrelsens och revisorernas berättelse 1936. Minnesskrift samt styrelsens och revisorernas berättelse år 1942 / Bolidens Folkets husförening.,ARAB: [samling] organisationsklipp vol. 6,"FHP-enkät, SF, Västerbottens Folkblad 8 mars 1937",Brann upp 1953. Nytt FH uppfördes på samma plats.
0803,Z,Krokom,Rödön,"Byggnadsföreningen Folkets Hus u p a , Ytterån",1945 och 1985,Ytteråns Folkets Hus,ekonomisk förening,,,,,,1949,,,,,,,"Folkrörelsearkivet i Östersund NM inventeringsrapport 1958, foto privat förvaring, kontakta folkrörelsearkivet i Östersund ARAB: Folkets husföreningar vol. 3 [samling]","FHP-enkät Vaplans FH, , FA, NM, NAD, ARAB",Föreningen upphörd 1968-1969 men återuppstod 1985 och köpte tillbaka sitt gamla hus som under  tiden fungerat som lokal åt logen Bifrost
0804,AC,Skellefteå,,Klemensnäs folketshusförening upa,1930,"Klemensnäs Folkets Hus, Furunäs",ekonomisk förening upa,,,Furunäs,,,,,,,Rivet,,,,FHP-enkät,"Rivet, föreningen byggde nytt FH 1960: Klementz 1, Ursviken."
0805,D,Katrineholm,Sköldinge,Sköldinge Folkets husförening,1908,Sköldinge Folkets Hus,kommunalt,"s-förening, enskilda, kommun Huset såldes till kommunen 1992. Nyttjanderättsavtal gällande FH-delen av huset skrevs 1994 gällande i 25 år.",Sköldinge Ramsta 2:16,Köpmangatan 14,,,1912,inne i tätortsbebyggelse,"Försäljningen av fastigheten 1992 orsakades av att Folkets hus var i behov av renovering. Resultatet blev efter samråd ett allaktivitetshus innehållande äldreboende, bibliotek och Folkets hus. FH-delen består av A-sal, nytt kök, matsal samt tre sammanträdesrum. Invigning 1994.","1912: scen, danslokal 1993: kök, studielokal, bibliotek","mötesverksamhet, teater, dans, studiecirklar, uthyrningsverksamhet",,"Sköldingeliv : Folkets Hus : Malmgården, ett café : Sköldingebor berättar om sitt 1900-tal / projektgruppen Åsa folkhögskola ; Christer Andersson.","Katrineholms arbetararkiv 14 vol. 1907-1976: protokoll, verksamhetsberättelser, foton m m","FHP-enkät, SF (Kantorp), NM, NAD",
0806,F,Jönköping,,Byggnadsföreningen Folkets Hus,1919,Jönköpings Folkets Hus,,,,V. Storgatan,,,,,,,Rivet,,"Ericsson, Per: Folkets Hus i Jönköping [Artikel] 1991",Jönköpings läns folkrörelsearkiv 174 vol. 1936-1981,"FHP-enkät, NAD",Rivet. Föreningen byggde nytt FH 1957 på Brunnsg. 13-15.
0807,S,Kristinehamn,Visnum,Björneborgs Folkets Hus & Park,1911,Borgen,ekonomisk förening upa,"fackförening, s-förening, enskilda",Chatleville 3:30,Degerforsv. 6,"Backman, Edgren, Jansson",,1973 ?,inne i tätortsbebyggelse,,"scen, biograf, kök, studielokal, danslokal, fritidsgård","mötesverksamhet, teater, bio, dans, konstutställningar, studiecirklar",Konsumaffär före 1973,,"I lokalen protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer",FHP-enkät,Föreningen har haft Folkets Hus och Park vid sjön Vismen i samhället Björneborg. Rivet. Föreningen hette fram till 1974 Byggnadsföreningen Verdandi upa
0808,AC,Umeå,Umeå,Umeå Folkets husförening,1924,Umeå Folkets Hus,,,kv. Verdandi 9,,,,1933,inne i tätortsbebyggelse,,,Såld till fastighetsbolag,,"Peterson, Birgit: Umeå Folkets Hus och dess historia, Umeå 1986 Peterson, Birgit: Umeå Folkets Hus och dess tillkomsthistoria, Umeå 1985",ARAB: Folkets husföreningar vol. 3 [samling],"FHP-enkät, SF",Såld till fastighetsbolag. Föreningen har ett nytt FH på Vasaplan.
0809,BD,Älvsbyn,,Älvsbyns Folkets husförening,1940,Selholmen,,,,,,,,,,,Togs över av kommunen 1953 när FH byggdes.,,,Arbetarrörelsens arkiv och kommunalt arkiv 1940-,FHP-enkät,Drevs av föreningen 1940-1953. Togs över av kommunen när man byggde FH.
0810,BD,Piteå,,Korsträsks Folkets husförening,1935,Korsträsk Folkets Hus,,socialdemokrater och kommunister,,,,,,,,,,,,,"FHP, LS",Föreningen upplöstes 1965 och inventarierna överläts till Korsträsks Idrottsklubb
0811,D,Eskilstuna,,Folkets husföreningen i Eskilstuna / AB Eskilstuna Folkets Hus och Park,1900,Eskilstuna Folkets Hus,,,Vågskålen 1-2,,Kooperativa förbundets arkitektkontor,,1936,Inne i tätortsbebyggelse,,,"Nedlagt, numera kårhus för högskolan.",,"Eskilstuna - Folkets hus 1939, minnesskrift Eskilstuna - Folkets park 1932, programhäfte",Eskilstuna stadsarkiv 1899-1944,"FHP-enkät, SF, NAD",1919 sammanslogs FH- och FP-föreningarna till AB Eskilstuna Folkets Hus och Park. Vågskålen 1 var redan bebyggd med ett stenhus som byggdes om och byggdes till på Vågskålen 2.
0812,Y,Timrå,Timrå,Folkets Parks andelsförening Bergeforsen,1926,Bergeforsens Folkets Park,ekonomisk förening upa,,,Bergeforsen,,,1927,,,,Folkparken blev överdämd när Bergeforsens kraftverk byggdes.,,Bergeforsens Folkets Park. Jubileum 11/7 1926-1936. Bergeforsens Folkets Park 1926-1976 : 50 år.,I lokalen 1930-,"FHP-enkät, SF",Se också nr 1366
0813,Y,Kramfors,Bjärtrå,Lugnviks Idrottsförening,1923,Olympia,ideell förening,idrottsförening,Bjärtrå-Mäland 5:1,Olympiav. 5,,,1927-1928,i anslutning till tätortsbebyggelse,"1931-1932 köptes den av Lugnviks IF och färdigställdes 1936 Målning utvändigt, vatten drogs in 1948 påbyggnad, installering av värme- och sanitetsanläggningar 1985 total renovering invändigt, väggar, golv, armatur 1988 utbyggnad möbelförråd","scen, biograf, kök, studielokal, föreningsexpedition, danslokal","mötesverksamhet, föreningsexpedition, dans, studiecirklar, ungdomsgård, bingo",Ägdes från början av Hallstanäs-Lugnviks Byggnadsförening,"Lugnviks Idrottsförening 1923 20/7 1948, John Sandström, Lugnvik, 1948","Folkrörelsearkivet i Västernorrland 1923- protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, medlemsuppgifter",FHP-enkät,
0814,S,,,,,Värmlands Säby Folkets Park,,,,,,,,,,,,,,,FHP,
0815,S,Kristinehamn,Visnum,Byggnadsföreningen Enighet upa,1913,Folkets Hus Bäckhammar,ekonomisk förening upa,"fackförening, s-förening, SSU-klubb, idrottsförening, enskilda",Algotserud 2:20,Sälsjögatan 15,Uno Jansson,Uno Jansson,1967,inne i tätortsbebyggelse,1976 restaurering,"scen, biograf, kök, studielokal, bibliotek, föreningsexpedition, danslokal, matsal, duschrum, omklädningsrum","mötesverksamhet, föreningsexpedition, bio, dans",,,"I lokalen protokoll, ritningar",FHP-enkät,Föreningen har haft tidigare FH i Långerud. Rivet.
0816,X,Gävle,Hedesunda,,,Folkets Hus Hedesunda,,,,,,,,,,,Revs 1943,,,,FHP-enkät,
0817,Y,Ånge,,Fränsta Folkets husförening,1930,Fränsta Folkets Hus,,,,,,,1932,,,,Färghandel,,,,"FHP-enkät, SF",
0818,I,Gotland,,Dalhems Folkets husförening,1942,Dalhems Folkets Hus,,,,,,,,,,,Snickerifabrik,Bondgård,"Folkets hus på Gotland s. 5 Ahlman, Harald: Folkets Hus - byggnader på gotland s. 15",,,
0819,I,Gotland,,,,Follingbo Folkets Hus,,,,,,Albin Nyberg,1936,,,,,,"Folkets hus på Gotland s. 6 Ahlman, Harald: Folkets Hus - byggnader på gotland s. 10",ARAB FH och FP samling: övriga landet vol. 5 fragment,,
0820,I,Gotland,,Föreningen Havdhems Folkets hus upa,,Havdhems Folkets Hus,,,,,,,1949,,,,Såldes till kommunen 1968 som använde det som fritidsgård. Brann ner 1979.,,"Folkets hus på Gotland s. 8-9 Ahlman, Harald: Folkets Hus - byggnader på gotland s. 14",Landsarkivet i Visby 1 vol. 1924-1968,NAD,
0821,I,Gotland,,,,Hellvi Folkets Hus,,,,,,,1909,,,,Såldes till sommarbostad 1969.,,"Ahlman, Harald: Folkets hus - byggnader på Gotland s. 4 Folkets hus på Gotland s. 10",,Folkets hus på Gotland s. 10,Drevs tillsammans med IOGT.
0822,I,Gotland,,,,Hemse Folkets Hus,,,,,,,,,,,,,Folkets hus på Gotland s. 11,,,Köptes av arbetarrörelsen från kommunen 1985.
0823,I,Gotland,,,,Högklints Folkets Park,,,,,,,1939,,,,,,Folkets hus på Gotlands. 12,,,
0824,I,Gotland,,,,Hörsne Folkets Hus,,,,,,,1945,,,,Såldes och blev sommarstuga på 1950-talet.,,"Folkets hus på Gotland s. 13 Ahlman, Harald: Folkets Hus - byggnader på gotland s. 16",,,
0825,I,Gotland,,,,Mästerby Folkets Hus,,,,,,,,,,,,"Torp, hölada",Folkets hus på Gotland s. 15,,,Invigdes som FH 1934
0826,I,Gotland,,,,Roma Folkets Hus,,,,,,,,,Om och tillbyggnad 1944-45 [NM],,Snickerifabrik,Militärbarack,"Folkets hus på Gotland s. 16 Ahlman, Harald: Folkets Hus - byggnader på Gotland s. 12","NM inventeringsrapport 1958, foto","Folkets hus på Gotland s. 16 Ahlman, Harald: Folkets Hus - byggnader på Gotland s. 12 NM","Inköptes och gjordes om till FH 1948. ARAB [samling]: Folkets Hus och Parker; övriga landet, vol. 8 fragment innehåller ett andelsbevis för Roma-Björke Folkets-parkförening 1935"
0827,I,Gotland,,,,Slite Folkets Park,,,,,,,1923,,,,Ingen verksamhet sedan 1950-talet.,,"Folkets hus på Gotland s. 19 Ahlman, Harald: Folkets Hus - byggnader på gotland s. 8",,,
0828,I,Gotland,,Stenkyrka Byggnadsförening u p a,1941,Stenkyrka Folkets Hus,,,,,,,,,,,bygdegård,militärbarack,"Folkets hus på Gotland s. 20 Ahlman, Harald: Folkets Hus - byggnader på gotland s. 7","ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment","Litteratur, ARAB",
0829,I,Gotland,,,1919,"Visby Folkets Hus, Specksrum",,,,,,,1700-talet,,,,Övertogs av Gotlands Folkblad 1960. Senare Radio Gotland.,bostad,Folkets hus på Gotland s. 21,"Landsarkivet i Visby 4 vol. 1922-1971 ARAB [samling]: Folkets Hus och Parker, övriga landet vol. 10, fragment","SF, NAD",Inköpt 1928.
0830,I,Gotland,,,,"Borgen, Visby",,,,,,,1960,,,,,,Folkets hus på Gotland s. 22,Landsarkivet i Visby 4 vol. 1922-1971,NAD,
0831,I,Gotland,,,,Vänge Folkets Hus,,,,,,,,,,,,Orgelfabrik,"Ahlman, Harald: Folkets Hus - byggnader på gotland s. 13 Folkets hus på Gotland s. 23",,,
0832,I,Gotland,,,,Väskinde Folkets Hus,,,Kaungs 1:10,,,,1936,,,,"Marken såldes 1976, byggnaden lämnades 1979.",,"Folkets hus på Gotland s. 24-25 Ahlman, Harald: Folkets Hus - byggnader på gotland s. 9",,,
0833,I,Gotland,,Föreningen Västerhejde Folkets Hus upa,1934,Västerhejde Folkets Hus,,,,,,,1940,,,,,,"Ahlman, Harald: Folkets Hus - byggnader på gotland s.11 Folkets hus på Gotland s. 26",,,
0834,Y,Sundsvall,,Föreningen Folkets Hus & Park i Sundsvall upa,1898,Folkets Hus Sundsvall,ekonomisk förening upa,"fackföreningar, arbetarekommun, s-föreningar, SSU-klubbar",Debet 13,"Esplanaden 29, Sundsvall","Iris Nilsson, Sv. Riksbyggen",BPA,1975-1976,inne i tätortsbebyggelse,,"Filmstad med 8 biografsalonger, kök, restaurang, studielokaler, lokaler för föreningsexpeditioner, danslokal, hotell, parkeringsgarage, flertal nöjeslokaler","mötesverksamhet, föreningsexpeditioner, bio, dans, restaurang, konstutställningar, studiecirklar, mässor, hotell",,"Olsson, Reinhold: 75 år i Folkrörelsernas tjänst, 1977 15 år i Sundsvallsbornas tjänst, Nils Gärdegård, 1992",I de egna lokalerna,FHP-enkät,"Föreningen ägde tidigare FH på Rådhusgatan 10-12. I samband med att nuvarande FH stod färdigt 1977 såldes fastigheten till ett privat fastighetsbolag. I byggnaden inryms numera ett litet hotell, kontors- och butikslokaler."
0835,Y,,,,,Folkets Hus Skönvik,,,,,,,,,,,Upphörde att vara FH på 1960-talet och brann ner i slutet av 1980-talet,,,,,
0836,W,Smedjebacken,,Smedjebackens Folkets husförening,1905,Smedjebackens Folkets Hus och Park,,,,,,,"FP 1905, FH 1938",,,,,,"Rassing, Karl-Erik;  Folkets Hus i Smedjebacken, En kort historik","Dalarnas Folkrörelsearkiv 0, 4 hm 1904-1979","FHP-enkät, SF",
0837,W,Smedjebacken,,Vads byggnadsförening,1921,Vads Folkets Hus,,,,,,,1929,,,,Troligen rivet,,,"Dalarnas Folkrörelsearkiv  0, 2 hm 1921-1973","SF, NAD",
0838,W,,,,,Larsbo Folkets Park,,,,,,,,,,,,,,,,
0839,O,Färgelanda,Ödeborg,Ödeborgs Folkets Hus ekonomisk förening,,ÖdeborgsParken,ekonomisk förening upa,enskilda andelsägare,,,,,,i anslutning till tätortsbebyggelse,,"dansbana, servering","teater, dans, uthyrning",,,"Bohusläns folkrörelsearkiv, Uddevalla 1914-1996  0, 60 hm",FHP-enkät,
0840,O,Partille,,Partille Folkets husförening,c:a 1930,Partille Folkets Hus,,,,,,,,,,,Rivet,NTO-loge,,Folkrörelsearkivet i Mölndal 1931-1961 ARAB: [samling]Folkets husföreningar vol 2: klipp ARAB: [samling] organisationsklipp,"NM, ARAB",Inköptes 1933. Arkivhandlingar tillsammans med Folkets Park.
0841,T,,,,,Klacka-Lerberg Folkets Hus,,,,,,,,,,,Rivet på 1930-1940-talet,,,Folkrörelsearkivet i Örebro. Foto hos privatperson se Pershyttans FHP-enkät,"FA, FHP-enkät Pershyttan",rivet
